Data,POC,VAL,VAH
2024-04-25,2475.0,2475.0,2477.4
2024-04-26,2470.4,2470.4,2470.4
2024-04-30,2430.0,2430.0,2430.0
2024-05-01,,,
2024-05-03,2420.0,2420.0,2420.0
2024-05-09,2479.6,2479.6,2479.6
2024-05-10,2501.1,2501.1,2501.1
2024-05-13,2469.9,2469.9,2473.6
2024-05-15,2504.9,2504.9,2509.4
2024-05-16,2515.5,2515.5,2515.5
2024-05-20,,,
2024-05-21,,,
2024-05-23,2480.0,2480.0,2500.5
2024-05-24,2467.4,2467.4,2467.4
2024-05-28,,,
2024-05-29,,,
2024-05-30,2474.6,2474.6,2474.6
2024-05-31,,,
2024-06-03,2478.9,2478.9,2478.9
2024-06-04,2450.9,2450.9,2450.9
2024-06-05,,,
2024-06-06,2499.0,2499.0,2499.0
2024-06-07,,,
2024-06-10,2431.5,2431.5,2437.5
2024-06-12,2462.0,2450.0,2462.0
2024-06-13,2435.4,2435.4,2437.0
2024-06-14,2450.2,2450.2,2450.2
2024-06-17,2439.4,2439.4,2439.4
2024-06-20,2480.0,2480.0,2481.1
2024-06-21,2471.0,2471.0,2471.0
2024-06-25,2437.9,2437.9,2438.2
2024-06-26,,,
2024-06-27,2438.7,2438.7,2438.7
2024-06-28,2449.6,2449.6,2449.6
2024-07-01,2441.8,2441.8,2447.0
2024-07-02,2439.0,2439.0,2439.0
2024-07-03,2481.1,2475.1,2481.1
2024-07-05,2498.1,2498.1,2507.3
2024-07-08,2475.6,2475.6,2475.7
2024-07-09,2475.4,2475.4,2475.4
2024-07-10,2492.7,2492.7,2492.7
2024-07-11,2520.0,2520.0,2520.0
2024-07-12,2523.8,2518.7,2523.8
2024-07-15,2546.3,2546.3,2548.4
2024-07-16,2569.0,2569.0,2585.4
2024-07-17,2581.1,2581.1,2601.2
2024-07-18,2569.3,2558.3,2569.3
2024-07-19,2511.6,2511.6,2515.5
2024-07-22,2495.9,2495.9,2506.2
2024-07-23,2515.3,2514.4,2515.3
2024-07-24,2543.1,2535.9,2543.1
2024-07-25,2462.1,2462.1,2477.9
2024-07-26,2496.2,2487.8,2496.2
2024-07-29,2485.0,2485.0,2488.3
2024-07-30,2515.2,2499.5,2519.7
2024-07-31,2556.6,2530.9,2556.6
2024-08-01,2553.7,2545.1,2558.9
2024-08-02,2531.0,2531.0,2532.0
2024-08-05,2498.7,2479.4,2500.3
2024-08-06,2485.8,2485.8,2487.2
2024-08-07,2489.4,2485.8,2495.5
2024-08-08,2516.2,2508.1,2516.2
2024-08-09,2527.1,2527.1,2528.4
2024-08-12,2557.8,2552.0,2557.8
2024-08-13,2564.5,2564.5,2565.2
2024-08-14,2537.7,2537.7,2542.2
2024-08-15,2551.6,2551.6,2554.9
2024-08-16,2588.6,2586.9,2602.4
2024-08-19,2594.8,2594.8,2600.6
2024-08-20,2625.4,2607.5,2628.6
2024-08-21,2597.3,2597.3,2600.6
2024-08-22,2566.5,2566.5,2579.9
2024-08-23,2600.8,2600.8,2605.5
2024-08-26,2609.9,2609.9,2609.9
2024-08-27,2619.7,2608.1,2619.7
2024-08-28,2598.0,2598.0,2600.2
2024-08-29,2619.6,2608.2,2619.6
2024-08-30,2596.5,2588.9,2596.5
2024-09-03,2570.0,2563.6,2572.4
2024-09-04,2581.4,2581.4,2581.4
2024-09-05,2597.4,2597.4,2597.4
2024-09-06,2572.3,2572.3,2594.3
2024-09-09,2588.9,2588.9,2588.9
2024-09-10,2599.9,2599.9,2601.9
2024-09-11,2598.8,2598.8,2599.9
2024-09-12,2637.4,2637.4,2637.4
2024-09-13,2668.5,2662.1,2668.5
2024-09-16,2664.5,2664.5,2668.4
2024-09-17,2648.3,2648.3,2650.2
2024-09-18,2665.9,2630.0,2665.9
2024-09-19,2671.5,2671.5,2673.5
2024-09-20,2704.0,2686.0,2705.9
2024-09-23,2715.8,2712.8,2715.8
2024-09-24,2726.2,2725.2,2743.4
2024-09-25,2739.5,2739.5,2739.5
2024-09-26,2738.2,2738.2,2748.4
2024-09-27,2747.5,2728.9,2747.5
2024-09-30,2712.2,2712.2,2712.2
2024-10-01,2739.2,2739.0,2750.8
2024-10-02,2738.8,2729.3,2738.8
2024-10-03,2730.2,2730.2,2730.2
2024-10-04,2739.6,2727.8,2747.5
2024-10-07,2729.7,2726.7,2729.7
2024-10-08,2695.0,2695.0,2721.2
2024-10-09,2686.8,2686.8,2695.2
2024-10-10,2704.9,2703.1,2706.8
2024-10-11,2734.9,2727.8,2738.3
2024-10-14,2733.4,2733.4,2733.4
2024-10-15,2744.1,2729.6,2744.1
2024-10-16,2752.0,2752.0,2752.0
2024-10-17,2774.1,2772.1,2774.1
2024-10-18,2800.0,2795.8,2800.0
2024-10-21,2803.0,2803.0,2806.6
2024-10-22,2818.1,2818.1,2828.8
2024-10-23,2800.4,2795.6,2800.4
2024-10-24,2811.5,2807.1,2811.5
2024-10-25,2816.6,2816.6,2816.6
2024-10-28,2819.5,2819.5,2821.0
2024-10-29,2841.0,2841.0,2847.9
2024-10-30,2864.1,2859.5,2866.4
2024-10-31,2815.4,2815.4,2817.0
2024-11-01,2816.0,2816.0,2820.5
2024-11-04,2808.6,2808.6,2813.8
2024-11-05,2815.0,2815.0,2815.0
2024-11-06,2741.5,2728.0,2745.8
2024-11-07,2766.1,2766.1,2781.0
2024-11-08,2761.0,2759.6,2761.0
2024-11-11,2689.1,2687.3,2689.1
2024-11-12,2672.0,2669.1,2683.2
2024-11-13,2653.4,2645.2,2679.3
2024-11-14,2639.0,2639.0,2639.0
2024-11-15,2635.6,2630.7,2640.4
2024-11-18,2680.3,2677.4,2680.6
2024-11-19,2698.8,2693.2,2698.8
2024-11-20,2712.9,2712.9,2721.3
2024-11-21,2739.9,2736.0,2740.9
2024-11-22,2781.2,2763.8,2781.2
2024-11-25,2697.2,2685.7,2697.2
2024-11-26,2690.2,2690.2,2697.2
2024-11-27,2710.0,2703.0,2710.0
2024-11-28,2704.8,2704.8,2705.0
2024-11-29,2724.5,2723.8,2724.5
2024-12-02,2706.0,2703.0,2707.5
2024-12-03,2711.3,2706.2,2711.6
2024-12-04,2717.5,2715.5,2721.8
2024-12-05,2705.5,2692.1,2705.5
2024-12-06,2699.1,2696.4,2700.4
2024-12-09,2729.3,2727.1,2735.1
2024-12-10,2760.4,2756.7,2760.4
2024-12-11,2791.6,2791.3,2791.6
2024-12-12,2744.0,2744.0,2754.0
2024-12-13,2723.2,2709.2,2724.5
2024-12-16,2714.3,2714.3,2717.9
2024-12-17,2698.6,2698.6,2707.3
2024-12-18,2652.0,2652.0,2664.3
2024-12-19,2649.5,2649.5,2652.1
2024-12-20,2689.1,2679.7,2697.8
2024-12-23,2669.9,2669.9,2676.9
2024-12-24,2677.5,2677.5,2681.3
2024-12-26,2699.7,2693.2,2700.4
2024-12-27,2680.9,2676.6,2680.9
2024-12-30,2667.1,2660.0,2667.1
2024-12-31,2689.7,2689.2,2691.2
2025-01-02,2716.4,2709.8,2723.1
2025-01-03,2704.2,2704.0,2710.9
2025-01-06,2695.7,2692.7,2695.7
2025-01-07,2719.5,2711.2,2719.5
2025-01-08,2718.4,2718.4,2730.9
2025-01-09,2735.2,2735.2,2741.3
2025-01-10,2768.6,2768.6,2779.1
2025-01-13,2730.0,2730.0,2733.5
2025-01-14,2734.5,2727.1,2741.9
2025-01-15,2751.6,2751.6,2772.8
2025-01-16,2799.1,2799.1,2804.0
2025-01-17,2796.0,2789.6,2809.0
2025-01-20,2777.2,2777.2,2781.0
2025-01-21,2805.5,2804.5,2809.5
2025-01-22,2820.8,2814.7,2822.4
2025-01-23,2804.4,2804.1,2813.0
2025-01-24,2835.9,2830.7,2835.9
2025-01-27,2790.2,2790.2,2808.7
2025-01-28,2825.9,2813.1,2825.9
2025-01-29,2822.4,2819.2,2822.4
2025-01-30,2873.1,2858.6,2873.1
2025-01-31,2858.5,2858.5,2880.1
2025-02-03,2879.7,2879.7,2895.1
2025-02-04,2888.4,2888.4,2898.5
2025-02-05,2920.4,2918.6,2926.8
2025-02-06,2898.8,2887.3,2898.8
2025-02-07,2912.4,2910.9,2929.8
2025-02-10,2962.3,2955.2,2962.3
2025-02-11,2962.5,2950.2,2962.5
