Data,Apertura,Massimo,Minimo,Prezzo,Volume
20240425  16:00:00,2477.4,2477.4,2477.4,2477.4,1
20240425  17:00:00,2475.0,2475.0,2475.0,2475.0,1
20240425  18:00:00,2475.0,2475.0,2475.0,2475.0,0
20240425  19:00:00,2475.0,2475.0,2475.0,2475.0,0
20240425  20:00:00,2475.0,2475.0,2475.0,2475.0,0
20240425  21:00:00,2475.0,2475.0,2475.0,2475.0,0
20240425  22:00:00,2475.0,2475.0,2475.0,2475.0,0
20240426  16:00:00,2470.4,2470.4,2470.4,2470.4,1
20240426  17:00:00,2470.4,2470.4,2470.4,2470.4,0
20240426  18:00:00,2470.4,2470.4,2470.4,2470.4,0
20240426  19:00:00,2470.4,2470.4,2470.4,2470.4,0
20240426  20:00:00,2470.4,2470.4,2470.4,2470.4,0
20240426  21:00:00,2470.4,2470.4,2470.4,2470.4,0
20240426  22:00:00,2470.4,2470.4,2470.4,2470.4,0
20240430  15:30:00,2450.0,2450.0,2450.0,2450.0,0
20240430  16:00:00,2450.0,2450.0,2450.0,2450.0,0
20240430  17:00:00,2450.0,2450.0,2450.0,2450.0,0
20240430  18:00:00,2450.0,2450.0,2450.0,2450.0,0
20240430  19:00:00,2450.0,2450.0,2450.0,2450.0,0
20240430  20:00:00,2430.0,2430.0,2430.0,2430.0,1
20240430  21:00:00,2430.0,2430.0,2430.0,2430.0,0
20240430  22:00:00,2430.0,2430.0,2430.0,2430.0,0
20240501  15:30:00,2434.7,2434.7,2434.7,2434.7,0
20240501  16:00:00,2434.7,2434.7,2434.7,2434.7,0
20240501  17:00:00,2434.7,2434.7,2434.7,2434.7,0
20240501  18:00:00,2434.7,2434.7,2434.7,2434.7,0
20240501  19:00:00,2434.7,2434.7,2434.7,2434.7,0
20240501  20:00:00,2434.7,2434.7,2434.7,2434.7,0
20240501  21:00:00,2434.7,2434.7,2434.7,2434.7,0
20240501  22:00:00,2434.7,2434.7,2434.7,2434.7,0
20240503  15:30:00,2420.0,2420.0,2420.0,2420.0,1
20240503  16:00:00,2420.0,2420.0,2420.0,2420.0,0
20240503  17:00:00,2420.0,2420.0,2420.0,2420.0,0
20240503  18:00:00,2420.0,2420.0,2420.0,2420.0,0
20240503  19:00:00,2420.0,2420.0,2420.0,2420.0,0
20240503  20:00:00,2420.0,2420.0,2420.0,2420.0,0
20240503  21:00:00,2420.0,2420.0,2420.0,2420.0,0
20240503  22:00:00,2420.0,2420.0,2420.0,2420.0,0
20240509  15:30:00,2462.0,2462.0,2462.0,2462.0,0
20240509  16:00:00,2462.0,2462.0,2462.0,2462.0,0
20240509  17:00:00,2462.0,2462.0,2462.0,2462.0,0
20240509  18:00:00,2462.0,2462.0,2462.0,2462.0,0
20240509  19:00:00,2462.0,2462.0,2462.0,2462.0,0
20240509  20:00:00,2462.0,2462.0,2462.0,2462.0,0
20240509  21:00:00,2462.0,2462.0,2462.0,2462.0,0
20240509  22:00:00,2480.0,2480.0,2479.6,2479.6,2
20240510  15:30:00,2509.2,2509.2,2509.2,2509.2,0
20240510  16:00:00,2509.2,2509.2,2509.2,2509.2,0
20240510  17:00:00,2509.2,2509.2,2509.2,2509.2,0
20240510  18:00:00,2501.1,2501.1,2501.1,2501.1,1
20240510  19:00:00,2501.1,2501.1,2501.1,2501.1,0
20240510  20:00:00,2501.1,2501.1,2501.1,2501.1,0
20240510  21:00:00,2501.1,2501.1,2501.1,2501.1,0
20240510  22:00:00,2501.1,2501.1,2501.1,2501.1,0
20240513  17:00:00,2469.9,2469.9,2469.9,2469.9,1
20240513  18:00:00,2472.5,2472.5,2472.5,2472.5,1
20240513  19:00:00,2473.6,2473.6,2473.6,2473.6,1
20240513  20:00:00,2473.6,2473.6,2473.6,2473.6,0
20240513  21:00:00,2473.6,2473.6,2473.6,2473.6,0
20240513  22:00:00,2473.6,2473.6,2473.6,2473.6,0
20240515  15:30:00,2508.4,2508.4,2508.4,2508.4,0
20240515  16:00:00,2504.7,2504.9,2502.1,2504.9,4
20240515  17:00:00,2509.5,2509.5,2509.4,2509.4,2
20240515  18:00:00,2509.4,2509.4,2509.4,2509.4,0
20240515  19:00:00,2509.4,2509.4,2509.4,2509.4,0
20240515  20:00:00,2509.4,2509.4,2509.4,2509.4,0
20240515  21:00:00,2509.4,2509.4,2509.4,2509.4,0
20240515  22:00:00,2509.4,2509.4,2509.4,2509.4,0
20240516  19:00:00,2515.5,2515.5,2515.5,2515.5,1
20240516  20:00:00,2515.5,2515.5,2515.5,2515.5,0
20240516  21:00:00,2515.5,2515.5,2515.5,2515.5,0
20240516  22:00:00,2515.5,2515.5,2515.5,2515.5,0
20240520  22:00:00,2557.0,2557.0,2557.0,2557.0,0
20240521  15:30:00,2563.4,2563.4,2563.4,2563.4,0
20240521  16:00:00,2563.4,2563.4,2563.4,2563.4,0
20240521  17:00:00,2563.4,2563.4,2563.4,2563.4,0
20240521  18:00:00,2563.4,2563.4,2563.4,2563.4,0
20240521  19:00:00,2563.4,2563.4,2563.4,2563.4,0
20240521  20:00:00,2563.4,2563.4,2563.4,2563.4,0
20240521  21:00:00,2563.4,2563.4,2563.4,2563.4,0
20240521  22:00:00,2563.4,2563.4,2563.4,2563.4,0
20240523  15:30:00,2500.5,2500.5,2500.5,2500.5,1
20240523  16:00:00,2480.0,2480.0,2480.0,2480.0,1
20240523  17:00:00,2480.0,2480.0,2480.0,2480.0,0
20240523  18:00:00,2481.8,2481.8,2481.8,2481.8,1
20240523  19:00:00,2481.8,2481.8,2481.8,2481.8,0
20240523  20:00:00,2481.8,2481.8,2481.8,2481.8,0
20240523  21:00:00,2481.8,2481.8,2481.8,2481.8,0
20240523  22:00:00,2481.8,2481.8,2481.8,2481.8,0
20240524  19:00:00,2467.4,2467.4,2467.4,2467.4,1
20240524  20:00:00,2467.4,2467.4,2467.4,2467.4,0
20240524  21:00:00,2467.4,2467.4,2467.4,2467.4,0
20240524  22:00:00,2467.4,2467.4,2467.4,2467.4,0
20240528  15:30:00,2490.7,2490.7,2490.7,2490.7,0
20240528  16:00:00,2490.7,2490.7,2490.7,2490.7,0
20240528  17:00:00,2490.7,2490.7,2490.7,2490.7,0
20240528  18:00:00,2490.7,2490.7,2490.7,2490.7,0
20240528  19:00:00,2490.7,2490.7,2490.7,2490.7,0
20240528  20:00:00,2490.7,2490.7,2490.7,2490.7,0
20240528  21:00:00,2490.7,2490.7,2490.7,2490.7,0
20240528  22:00:00,2490.7,2490.7,2490.7,2490.7,0
20240529  15:30:00,2479.5,2479.5,2479.5,2479.5,0
20240529  16:00:00,2479.5,2479.5,2479.5,2479.5,0
20240529  17:00:00,2479.5,2479.5,2479.5,2479.5,0
20240529  18:00:00,2479.5,2479.5,2479.5,2479.5,0
20240529  19:00:00,2479.5,2479.5,2479.5,2479.5,0
20240529  20:00:00,2479.5,2479.5,2479.5,2479.5,0
20240529  21:00:00,2479.5,2479.5,2479.5,2479.5,0
20240529  22:00:00,2479.5,2479.5,2479.5,2479.5,0
20240530  19:00:00,2475.0,2475.0,2474.6,2474.6,2
20240530  20:00:00,2474.6,2474.6,2474.6,2474.6,0
20240530  21:00:00,2474.6,2474.6,2474.6,2474.6,0
20240530  22:00:00,2474.6,2474.6,2474.6,2474.6,0
20240531  22:00:00,2477.7,2477.7,2477.7,2477.7,0
20240603  18:00:00,2471.5,2471.5,2471.5,2471.5,2
20240603  19:00:00,2471.5,2471.5,2471.5,2471.5,0
20240603  20:00:00,2478.3,2478.9,2478.3,2478.9,13
20240603  21:00:00,2476.5,2476.5,2476.5,2476.5,1
20240603  22:00:00,2476.5,2476.5,2476.5,2476.5,0
20240604  18:00:00,2450.9,2450.9,2450.9,2450.9,1
20240604  19:00:00,2450.9,2450.9,2450.9,2450.9,0
20240604  20:00:00,2450.9,2450.9,2450.9,2450.9,0
20240604  21:00:00,2450.9,2450.9,2450.9,2450.9,0
20240604  22:00:00,2450.9,2450.9,2450.9,2450.9,0
20240605  15:30:00,2460.1,2460.1,2460.1,2460.1,0
20240605  16:00:00,2460.1,2460.1,2460.1,2460.1,0
20240605  17:00:00,2460.1,2460.1,2460.1,2460.1,0
20240605  18:00:00,2460.1,2460.1,2460.1,2460.1,0
20240605  19:00:00,2460.1,2460.1,2460.1,2460.1,0
20240605  20:00:00,2460.1,2460.1,2460.1,2460.1,0
20240605  21:00:00,2460.1,2460.1,2460.1,2460.1,0
20240605  22:00:00,2460.1,2460.1,2460.1,2460.1,0
20240606  17:00:00,2499.0,2499.0,2499.0,2499.0,1
20240606  18:00:00,2499.0,2499.0,2499.0,2499.0,0
20240606  19:00:00,2499.0,2499.0,2499.0,2499.0,0
20240606  20:00:00,2499.0,2499.0,2499.0,2499.0,0
20240606  21:00:00,2499.0,2499.0,2499.0,2499.0,0
20240606  22:00:00,2499.0,2499.0,2499.0,2499.0,0
20240607  15:30:00,2474.0,2474.0,2474.0,2474.0,0
20240607  16:00:00,2474.0,2474.0,2474.0,2474.0,0
